ID,RA,DEC,TYPE,FLUX_m400,FLUX_m425,FLUX_m450,FLUX_m475,FLUX_m500,FLUX_m525,FLUX_m550,FLUX_m575,FLUX_m600,FLUX_m625,FLUX_m650,FLUX_m675,FLUX_m700,FLUX_m725,FLUX_m800,FLUX_m825,FLUX_m850,FLUX_m875,ELL,Re,THETA
00194,311.65202921,-1.7515020009,STAR,,,,,,,,,,,,,,,,,,,0.0,3.1595,-23.16700050719423
00195,311.26920013,-1.7588947666,STAR,,,,,,,,,,,,,,,,,,,0.0,2.8365,2.0378764732025023
00196,311.61464541,-1.9009903679,STAR,,,,,,,,,,,,,,,,,,,0.0,3.1275000000000004,-36.31721325537449
00197,311.54721434,-1.8109893872,STAR,,,,,,,,,,,,,,,,,,,0.0,3.0060000000000002,-17.458288378689808
00198,311.18760913,-1.7313800694,STAR,,,,,,,,,,,,,,,,,,,0.0,2.7655000000000003,-4.920867473604092
00199,310.71630842,-1.7040819334,STAR,,,,,,,,,,,,,,,,,,,0.0,2.9425,-22.1562167424081
00200,311.07262456,-1.6893327603,STAR,,,,,,,,,,,,,,,,,,,0.0,2.8825000000000003,-5.705102822396683
00201,311.24317606,-1.7131348441,STAR,,,,,,,,,,,,,,,,,,,0.0,2.8075,19.059320460775403
00202,311.40202252,-1.7809697978,STAR,,,,,,,,,,,,,,,,,,,0.0,2.879,20.73524403239977
00203,310.96841315,-1.5965000009,STAR,,,,,,,,,,,,,,,,,,,0.0,2.8345000000000002,-49.102075933381826
00204,311.08798152,-1.5464989745,STAR,,,,,,,,,,,,,,,,,,,0.0,2.868,-5.741991141576852
00205,310.60973843,-1.6054619317,STAR,,,,,,,,,,,,,,,,,,,0.0,3.0774999999999997,-33.322233048471396
00206,310.71295682,-1.5675222192,STAR,,,,,,,,,,,,,,,,,,,0.0,3.1094999999999997,-42.77368763726435
00207,310.81503228,-1.5790667445,STAR,,,,,,,,,,,,,,,,,,,0.0,2.8795,-18.26856317801624
00208,310.65045861,-1.578588758,STAR,,,,,,,,,,,,,,,,,,,0.0,3.1025,-24.37463134812322
00209,310.69729267,-1.7390765374,STAR,,,,,,,,,,,,,,,,,,,0.0,2.996,20.232093124829436
00210,310.94048337,-1.7375386064,STAR,,,,,,,,,,,,,,,,,,,0.0,2.882,-18.49356120719632
00211,311.66451175,-1.7316401162,STAR,,,,,,,,,,,,,,,,,,,0.0,3.0355,-23.74062198872673
00212,310.67522677,-1.7197092167,STAR,,,,,,,,,,,,,,,,,,,0.0,3.029,-17.25414667039114
00213,311.41592027,-1.7097481161,STAR,,,,,,,,,,,,,,,,,,,0.0,3.0035,-40.11259696665391
00214,311.4527227,-1.6916172522,STAR,,,,,,,,,,,,,,,,,,,0.0,2.8514999999999997,11.601299778434196
00215,311.28005277,-1.6281959792,STAR,,,,,,,,,,,,,,,,,,,0.0,2.8265000000000002,-20.179015520740695
00216,311.25109303,-1.6080156672,STAR,,,,,,,,,,,,,,,,,,,0.0,2.844,-0.029583550307819492
00217,311.24537496,-1.5841047144,STAR,,,,,,,,,,,,,,,,,,,0.0,2.8215,5.274456131815979
00218,311.42862689,-1.640022568,STAR,,,,,,,,,,,,,,,,,,,0.0,2.8415,-49.51906181345368
00219,310.68876567,-1.6157276733,STAR,,,,,,,,,,,,,,,,,,,0.0,3.1045,-53.741299775141876
00220,310.89098225,-1.6329862331,STAR,,,,,,,,,,,,,,,,,,,0.0,2.9005,-27.4968631778686
00221,311.15668677,-2.0975331295,STAR,,,,,,,,,,,,,,,,,,,0.0,3.035,-37.977853719325644
00222,310.56511423,-1.6573418466,STAR,,,,,,,,,,,,,,,,,,,0.0,3.167,-58.38419668815451
